Analytics overview
2026-05-13 - 2026-06-12
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Impressions
2026-05-13,2636
2026-05-14,3550
2026-05-15,3996
2026-05-16,3047
2026-05-17,3000
2026-05-18,3625
2026-05-19,3538
2026-05-20,4078
2026-05-21,3959
2026-05-22,4517
2026-05-23,4083
2026-05-24,4362
2026-05-25,7074
2026-05-26,7233
2026-05-27,7398
2026-05-28,6756
2026-05-29,7426
2026-05-30,6915
2026-05-31,7798
2026-06-01,8468
2026-06-02,7063
2026-06-03,7394
2026-06-04,7334
2026-06-05,9486
2026-06-06,6662
2026-06-07,6090
2026-06-08,6177
2026-06-09,6285
2026-06-10,5903
2026-06-11,5690
2026-06-12,2531
Data starting from 2026-06-10 is an estimate that gets adjusted as it's verified over time.

Top Boards 2026-05-13 - 2026-06-12
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/wildbuild/smart-pet-wellness-eco-tech-quiet-luxury/,84127,2893,2455,2,450
https://www.pinterest.com/wildbuild/future-living-off-grid-tech/,80274,1796,1569,0,259
https://www.pinterest.com/wildbuild/code-build-ship-freelance-tech-life/,9248,209,182,2,28
https://www.pinterest.com/wildbuild/_quick_creates/,399,17,16,0,2
https://www.pinterest.com/wildbuild/nail-aesthetic-art-inspo/,22,2,2,0,0
https://www.pinterest.com/wildbuild/test-board/,4,0,0,0,0
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2026-06-10, which gets adjusted as it's verified over time."

Top Pins 2026-05-13 - 2026-06-12
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/867646684482504284/,Organic,From you,No,20115
https://www.pinterest.com/pin/867646684481475922/,Organic,From you,No,8725
https://www.pinterest.com/pin/867646684482453137/,Organic,From you,No,8334
https://www.pinterest.com/pin/867646684482423628/,Organic,From you,No,8259
https://www.pinterest.com/pin/867646684482522584/,Organic,From you,No,6114
https://www.pinterest.com/pin/867646684482757687/,Organic,From you,No,6006
https://www.pinterest.com/pin/867646684481735030/,Organic,From you,No,5594
https://www.pinterest.com/pin/867646684482487706/,Organic,From you,No,4359
https://www.pinterest.com/pin/867646684482432786/,Organic,From you,No,4143
https://www.pinterest.com/pin/867646684481859452/,Organic,From you,No,3610
https://www.pinterest.com/pin/867646684482415929/,Organic,From you,No,3422
https://www.pinterest.com/pin/867646684482177215/,Organic,From you,No,3329
https://www.pinterest.com/pin/867646684482656770/,Organic,From you,No,3169
https://www.pinterest.com/pin/867646684482524745/,Organic,From you,No,3060
https://www.pinterest.com/pin/867646684482720928/,Organic,From you,No,2995
https://www.pinterest.com/pin/867646684482697398/,Organic,From you,No,2822
https://www.pinterest.com/pin/867646684481645804/,Organic,From you,No,2743
https://www.pinterest.com/pin/867646684483110021/,Organic,From you,No,2742
https://www.pinterest.com/pin/867646684481954805/,Organic,From you,No,2729
https://www.pinterest.com/pin/867646684482362849/,Organic,From you,No,2669
https://www.pinterest.com/pin/867646684482435198/,Organic,From you,No,2660
https://www.pinterest.com/pin/867646684482591666/,Organic,From you,No,2544
https://www.pinterest.com/pin/867646684481981904/,Organic,From you,No,2453
https://www.pinterest.com/pin/867646684482732992/,Organic,From you,No,2439
https://www.pinterest.com/pin/867646684483073529/,Organic,From you,No,2244
https://www.pinterest.com/pin/867646684482263820/,Organic,From you,No,2165
https://www.pinterest.com/pin/867646684482603225/,Organic,From you,No,2101
https://www.pinterest.com/pin/867646684482271147/,Organic,From you,No,2055
https://www.pinterest.com/pin/867646684482784961/,Organic,From you,No,1998
https://www.pinterest.com/pin/867646684482747132/,Organic,From you,No,1951
https://www.pinterest.com/pin/867646684481823628/,Organic,From you,No,1922
https://www.pinterest.com/pin/867646684482360622/,Organic,From you,No,1773
https://www.pinterest.com/pin/867646684481984280/,Organic,From you,No,1638
https://www.pinterest.com/pin/867646684482532760/,Organic,From you,No,1617
https://www.pinterest.com/pin/867646684482652586/,Organic,From you,No,1550
https://www.pinterest.com/pin/867646684482467522/,Organic,From you,No,1458
https://www.pinterest.com/pin/867646684481893758/,Organic,From you,No,1401
https://www.pinterest.com/pin/867646684481735714/,Organic,From you,No,1319
https://www.pinterest.com/pin/867646684482661104/,Organic,From you,No,1318
https://www.pinterest.com/pin/867646684482489881/,Organic,From you,No,1308
https://www.pinterest.com/pin/867646684482752747/,Organic,From you,No,1262
https://www.pinterest.com/pin/867646684482175328/,Organic,From you,No,1224
https://www.pinterest.com/pin/867646684482300276/,Organic,From you,No,962
https://www.pinterest.com/pin/867646684482593694/,Organic,From you,No,917
https://www.pinterest.com/pin/867646684482455786/,Organic,From you,No,857
https://www.pinterest.com/pin/867646684482235631/,Organic,From you,No,831
https://www.pinterest.com/pin/867646684482787309/,Organic,From you,No,788
https://www.pinterest.com/pin/867646684481922501/,Organic,From you,No,712
https://www.pinterest.com/pin/867646684482208498/,Organic,From you,No,670
https://www.pinterest.com/pin/867646684482302695/,Organic,From you,No,624
"Top pins table is restricted to data from the last 6 months. This includes estimated data from 2026-06-10, which gets adjusted as it's verified over time."

