Audience View,Date,Aggregation,Audience Size
Your engaged audience,2026-04-28,Monthly,10000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.906,1.737
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.9,1.258
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.848,0.954
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.742,2.244
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.714,1.847
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.608,2.919
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.578,1.547
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.447,1.629
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.444,1.182
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Door,"{'name': 'Door', 'id': '936029585073'}",0.404,4.719
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.301,4.441
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.109,4.054
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.106,2.743
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.82,1.177,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.091,3.291
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.804,1.079
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.783,1.184
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.739,0.973
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.699,1.412
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.382,1.069
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.379,0.963
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.161,0.521
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.161,5.935
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.146,0.838
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.14,0.423
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.122,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.081,1.691
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.223,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.516,0.763
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.223,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.455,1.292
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.223,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.272,1.595
Education,"{'name': 'Education', 'id': '922134410098'}",0.768,1.2,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.974,1.043
Education,"{'name': 'Education', 'id': '922134410098'}",0.768,1.2,Career,"{'name': 'Career', 'id': '941720221932'}",0.214,1.64
Education,"{'name': 'Education', 'id': '922134410098'}",0.768,1.2,Teacher Resources,"{'name': 'Teacher Resources', 'id': '920023336761'}",0.136,0.785
Education,"{'name': 'Education', 'id': '922134410098'}",0.768,1.2,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.133,0.819
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.704,0.895
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.681,0.891
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.648,0.858
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.485,1.114
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.391,0.911
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Music,"{'name': 'Music', 'id': '936111947007'}",0.368,0.748
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,Book,"{'name': 'Book', 'id': '908410600882'}",0.107,0.628
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.766,1.104,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.107,0.598
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,Fabric Crafts,"{'name': 'Fabric Crafts', 'id': '909430966917'}",0.498,0.838
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.495,0.93
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.485,4.482
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.18,1.169
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.134,0.567
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.111,2.023
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.761,1.294,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.111,0.575
