Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.819,1.121
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.809,1.076
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.76,1.184
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.725,1.519
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.492,1.382
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.449,1.164
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.229,1.265
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.178,0.578
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.148,0.439
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.144,5.213
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.117,2.334
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.104,1.745
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.061,1.634
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.056,0.394
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.054,2.132
Art,"{'name': 'Art', 'id': '961238559656'}",0.781,1.159,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.051,0.955
